feature,gain,splits,perm_drop
gpu_fan_max__mean,72665.35150146484,27,7.643875314972126e-05
gpu_fan_max__std,34837.516540527344,16,0.00014452158756250721
gpu_fan_max__last,5581.3009033203125,5,-1.0137117766567671e-05
gpu_fan_max__delta,0.0,0,0.0
gpu_fan_max__slope,0.0,0,0.0
mem_free__min,375392.1598510742,114,0.0027982350178059334
mem_free__max,496225.6712036133,125,0.004242598017648119
mem_free__mean,233856.38543701172,101,0.0013302792385972984
mem_free__std,49034.05871582031,18,0.0023878467087911637
mem_free__last,601169.1497802734,53,-0.00015452008014299468
mem_free__delta,7971.8470458984375,8,-1.3682442797757766e-05
mem_free__slope,10847.789916992188,5,0.0006945169933851303
mem_dirty__min,15234.463012695312,11,0.0001194887331360528
mem_dirty__max,7439.095031738281,8,-0.00011134882898644616
mem_dirty__mean,24568.0400390625,9,0.0002193912925032293
mem_dirty__std,0.0,0,0.0
mem_dirty__last,10804.329833984375,4,0.00021998054345728768
mem_dirty__delta,0.0,0,0.0
mem_dirty__slope,0.0,0,0.0
load1__min,327247.7614440918,60,0.0133330077365027
load1__max,52987.66354370117,29,0.0009536502763475285
load1__mean,131423.2919921875,30,0.0026308324827609697
load1__std,63082.73699951172,22,-0.0005587260705327279
load1__last,13238.999633789062,4,0.0003056408898526042
load1__delta,0.0,0,0.0
load1__slope,0.0,0,0.0
load15__min,117007.59652709961,43,0.00194938996467664
load15__max,76399.32904052734,30,-0.0004233616425455833
load15__mean,50215.379943847656,22,0.0005130491974975615
load15__std,10250.819946289062,4,0.0002926273250145328
load15__last,99153.52716064453,10,0.00027929082321692666
load15__delta,28230.553771972656,14,0.0009755422496460497
load15__slope,18901.869018554688,11,0.00047578770323197794
procs_running__min,1514.9600219726562,2,3.792291927928737e-05
procs_running__max,30028.390380859375,8,0.00019615647162785077
procs_running__mean,18643.436614990234,9,0.00010257403443439395
procs_running__std,7782.41796875,4,-0.00011688118987537854
procs_running__last,0.0,0,0.0
procs_running__delta,0.0,0,0.0
procs_running__slope,0.0,0,0.0
procs_blocked__min,0.0,0,0.0
procs_blocked__max,30986.52227783203,16,0.00019791308466768354
procs_blocked__mean,21228.376892089844,8,9.475546383666544e-05
procs_blocked__std,44750.32196044922,17,0.0007302163838255882
procs_blocked__last,0.0,0,0.0
procs_blocked__delta,0.0,0,0.0
procs_blocked__slope,0.0,0,0.0
hwmon_temp_max__min,6674.8619384765625,4,-8.570272513100385e-05
hwmon_temp_max__max,11263.070068359375,5,-1.3479098472435336e-05
hwmon_temp_max__mean,68139.0786743164,40,4.0403001983241316e-05
hwmon_temp_max__std,18501.19012451172,7,0.00012552454450967532
hwmon_temp_max__last,0.0,0,0.0
hwmon_temp_max__delta,0.0,0,0.0
hwmon_temp_max__slope,0.0,0,0.0
thermal_max__min,29851.10467529297,12,-0.0002753306673956013
thermal_max__max,1251.530029296875,1,-1.4055687065611666e-05
thermal_max__mean,44403.288024902344,25,-0.0006239840542194286
thermal_max__std,33696.966064453125,14,0.0003005617068582711
thermal_max__last,0.0,0,0.0
thermal_max__delta,0.0,0,0.0
thermal_max__slope,0.0,0,0.0
node_power__min,53323.897521972656,11,0.0006314670690657498
node_power__max,179448.44207763672,15,0.0006404355951750151
node_power__mean,67267.2904663086,31,0.0006476462174576647
node_power__std,6836.210998535156,5,-8.626948404338863e-06
node_power__last,2060.2759399414062,2,0.00020360537900113163
node_power__delta,0.0,0,0.0
node_power__slope,0.0,0,0.0
fs_avail__min,283543.15313720703,107,-0.002462278677908575
fs_avail__max,201621.61560058594,70,0.0009720884429389454
fs_avail__mean,210706.94500732422,88,0.004779029432202292
fs_avail__std,7077.041931152344,5,-0.00018706664915399407
fs_avail__last,315936.66638183594,78,0.001643416960844829
fs_avail__delta,2315.5729370117188,2,-1.0355917784976576e-06
fs_avail__slope,2365.8770141601562,2,-2.989722269342021e-05
disk_io_now__min,0.0,0,0.0
disk_io_now__max,0.0,0,0.0
disk_io_now__mean,0.0,0,0.0
disk_io_now__std,2816.43603515625,4,1.6444567108420127e-05
disk_io_now__last,0.0,0,0.0
disk_io_now__delta,0.0,0,0.0
disk_io_now__slope,0.0,0,0.0
